sys_created_by,user_013
sys_created_at,29/02/2016 08:18
sys_updated_by,user_908
sys_updated_at,07/03/2016 15:00
contact_type,Phone
category,Application Support
subcategory,Application Error
u_symptom,Application crashes on launch
impact,2 - Medium
urgency,2 - Medium
priority,3 - Moderate
assigned_to,user_54
resolver,user_208
knowledge,FALSE
notify,Do Not Notify
rfc,RFC001236
Case ID,CASE011
Case Title,Application Crash Reported
Creation Date,29/02/2016 08:03
Description,User reported that the application crashes every time it is launched.
Case Tasks,"[{""Case Tasks Title"": ""Initial Diagnosis"", ""Case Task Start Date"": ""29/02/2016 08:30"", ""Case Task Assignee"": ""user_024"", ""Case Task Status"": ""Completed"", ""Case Task Duration"": ""30 minutes"", ""Case Attribute Data"": ""{ 'diagnosis_result': 'Application logs analyzed.' }""}, {""Case Tasks Title"": ""Patch Deployment"", ""Case Task Start Date"": ""29/02/2016 09:00"", ""Case Task Assignee"": ""user_208"", ""Case Task Status"": ""Completed"", ""Case Task Duration"": ""1 hour"", ""Case Attribute Data"": ""{ 'patch_deployed': 'Update applied successfully.' }""}, {""Case Tasks Title"": ""User Notification"", ""Case Task Start Date"": ""29/02/2016 10:15"", ""Case Task Assignee"": ""user_024"", ""Case Task Status"": ""Completed"", ""Case Task Duration"": ""15 minutes"", ""Case Attribute Data"": ""{ 'notification_sent': 'User informed of resolution.' }""}]"
Observables Analysis,"[{""Analysis Type"": ""Application Log Analysis"", ""Analysis ID"": ""log-2016-006"", ""Timestamp"": ""2016-02-29 08:45:00 UTC"", ""Data Value"": ""Application crash logs indicate missing dependencies."", ""Details"": ""Root cause identified as missing library files."", ""Status"": ""Completed""}]"
Chat Log,"User_024 [08:03 AM]: ""User reports application crash. We need to prioritize this!"" User_208 [08:30 AM]: ""Looking at the logs now. I’m confident we can resolve this quickly."" User_024 [09:00 AM]: ""Any updates?"" User_208 [09:05 AM]: ""I see the issue; deploying a patch shortly.""
User_024 [10:00 AM]: ""Great! Keep me posted."" User_208 [10:15 AM]: ""Patch deployed. I’ll notify the user now."" User_024 [10:30 AM]: ""Thanks for the quick turnaround!"""
Chat Keywords,"[""application crash"", ""log analysis"", ""issue resolution"", ""patch deployment"", ""user notification""]"
Chat Sentiment Determination,Optimism
Event ID,147
Distribution,Organization only
Event Information,Application crash reported 
Threat Level,Medium
Event Attributes,"{ 'issue_type': 'application error', 'affected_systems': 'user application' }"
close_code,Application_Error_Resolved
resolved_by,user_208
resolved_at,02/03/2016 14:37
closed_at,07/03/2016 15:00

Field,Value
number,INC0000067
incident_state,Closed
active,FALSE
reassignment_count,1
reopen_count,0
sys_mod_count,10
made_sla,TRUE
caller_id,Caller 442
opened_by,user_180
opened_at,29/02/2016 08:03
sys_created_by,user_081
sys_created_at,29/02/2016 08:05
sys_updated_by,user_908
sys_updated_at,07/03/2016 12:00
contact_type,Phone
category,Cybersecurity
subcategory,Unauthorized Access
u_symptom,Multiple failed login attempts detected
impact,2 - Medium
urgency,2 - Medium
priority,3 - Moderate
assigned_to,user_236
resolver,user_215
knowledge,FALSE
notify,Do Not Notify
rfc,RFC001237
Case ID,CASE012
Case Title,Unauthorized Access Attempt Detected
Creation Date,29/02/2016 08:03
Description,User reported multiple failed login attempts from an unrecognized IP address.
Case Tasks,"[{""Case Tasks Title"": ""Initial Investigation"", ""Case Task Start Date"": ""29/02/2016 08:30"", ""Case Task Assignee"": ""user_180"", ""Case Task Status"": ""Completed"", ""Case Task Duration"": ""45 minutes"", ""Case Attribute Data"": ""{ 'investigation_result': 'Identified multiple failed attempts from external IP.' }""}, {""Case Tasks Title"": ""User Account Lockout"", ""Case Task Start Date"": ""29/02/2016 09:15"", ""Case Task Assignee"": ""user_215"", ""Case Task Status"": ""Completed"", ""Case Task Duration"": ""30 minutes"", ""Case Attribute Data"": ""{ 'account_locked': 'User account locked temporarily.' }""}, {""Case Tasks Title"": ""User Notification"", ""Case Task Start Date"": ""29/02/2016 09:45"", ""Case Task Assignee"": ""user_180"", ""Case Task Status"": ""Completed"", ""Case Task Duration"": ""15 minutes"", ""Case Attribute Data"": ""{ 'notification_sent': 'User informed about the security incident.' }""}]"
Observables Analysis,"[{""Analysis Type"": ""Login Attempt Analysis"", ""Analysis ID"": ""login-2016-007"", ""Timestamp"": ""2016-02-29 09:00:00 UTC"", ""Data Value"": ""IP address flagged for suspicious activity."", ""Details"": ""User accounts targeted during off-hours."", ""Status"": ""Completed""}]"
Chat Log,"User_180 [08:05 AM]: ""Received a report about multiple failed login attempts. Need to investigate immediately."" User_215 [08:15 AM]: ""Checking logs now. It looks like attempts are from an unrecognized IP address."" User_180 [08:30 AM]: ""Lock the account temporarily until we confirm safety. User needs to be notified."" User_215 [08:45 AM]: ""Account locked. User will be notified about this incident."" User_180 [09:00 AM]: ""Send a notification to the user regarding the security measures taken."""
Chat Keywords,"[""unauthorized access"", ""login attempts"", ""user account lockout"", ""incident response"", ""security notification""]"
Chat Sentiment Determination,Frustration
Event ID,148
Distribution,Organization only
Event Information,Unauthorized access attempt detected 
Threat Level,Medium
Event Attributes,"{ 'issue_type': 'unauthorized access', 'affected_users': 'user_442' }"
close_code,Unauthorized_Access_Resolved
resolved_by,user_215
resolved_at,02/03/2016 11:11
closed_at,07/03/2016 12:00

Field,Value
number,INC0000070
incident_state,Closed
active,FALSE
reassignment_count,1
reopen_count,0
sys_mod_count,9
made_sla,TRUE
caller_id,Caller 3757
opened_by,user_131
opened_at,29/02/2016 08:11
sys_created_by,user_062
sys_created_at,29/02/2016 08:38
sys_updated_by,user_908
sys_updated_at,24/03/2016 18:40
contact_type,Phone
category,Cybersecurity
subcategory,Malware Infection
u_symptom,User reported unexpected system behavior and pop-up alerts.
impact,2 - Medium
urgency,2 - Medium
priority,3 - Moderate
assigned_to,user_031
resolver,user_030
knowledge,FALSE
notify,Do Not Notify
rfc,RFC001238
Case ID,CASE013
Case Title,Malware Infection Detected
Creation Date,29/02/2016 08:11
Description,User reported signs of malware infection affecting system performance.
Case Tasks,"[{""Case Tasks Title"": ""Initial Malware Scan"", ""Case Task Start Date"": ""29/02/2016 08:30"", ""Case Task Assignee"": ""user_131"", ""Case Task Status"": ""Completed"", ""Case Task Duration"": ""1 hour"", ""Case Attribute Data"": ""{ 'scan_result': 'Malware detected.' }""}, {""Case Tasks Title"": ""Isolate Infected Device"", ""Case Task Start Date"": ""29/02/2016 09:30"", ""Case Task Assignee"": ""user_031"", ""Case Task Status"": ""Completed"", ""Case Task Duration"": ""30 minutes"", ""Case Attribute Data"": ""{ 'device_isolated': 'User device isolated from network.' }""}, {""Case Tasks Title"": ""User Notification"", ""Case Task Start Date"": ""29/02/2016 10:00"", ""Case Task Assignee"": ""user_131"", ""Case Task Status"": ""Completed"", ""Case Task Duration"": ""15 minutes"", ""Case Attribute Data"": ""{ 'notification_sent': 'User informed about the infection and next steps.' }""}]"
Observables Analysis,"[{""Analysis Type"": ""Malware Detection Analysis"", ""Analysis ID"": ""malware-2016-012"", ""Timestamp"": ""2016-02-29 09:00:00 UTC"", ""Data Value"": ""Malware signature detected in system files."", ""Details"": ""User's device was running unverified software."", ""Status"": ""Completed""}]"
Chat Log,"User_131 [08:11 AM]: ""We've got a report of unusual behavior on the user's system. Let’s scan it for malware."" User_030 [08:15 AM]: ""Running a full system scan. I'll check for any malicious signatures."" User_131 [09:00 AM]: ""Scan completed. Malware detected. We need to isolate the device immediately."" User_030 [09:30 AM]: ""Device isolated from the network. Preparing for user notification."" User_131 [10:00 AM]: ""Inform the user about the infection and provide them with next steps."""
Chat Keywords,"[""malware infection"", ""system scan"", ""user notification"", ""device isolation"", ""security incident""]"
Chat Sentiment Determination,Urgency
Event ID,149
Distribution,Organization only
Event Information,Malware infection detected
Threat Level,Medium
Event Attributes,"{ 'issue_type': 'malware infection', 'affected_users': 'user_3757' }"
close_code,Malware_Resolved
resolved_by,user_031
resolved_at,08/03/2016 09:55
closed_at,24/03/2016 18:40

Field,Value
number,INC0000071
incident_state,Closed
active,FALSE
reassignment_count,0
reopen_count,0
sys_mod_count,7
made_sla,TRUE
caller_id,Caller 271
opened_by,user_180
opened_at,29/02/2016 08:12
sys_created_by,user_081
sys_created_at,29/02/2016 08:17
sys_updated_by,user_908
sys_updated_at,06/03/2016 11:00
contact_type,Phone
category,Cybersecurity
subcategory,Data Breach
u_symptom,User reported unauthorized access to sensitive information.
impact,2 - Medium
urgency,2 - Medium
priority,3 - Moderate
assigned_to,user_249
resolver,user_227
knowledge,FALSE
notify,Do Not Notify
rfc,RFC001239
Case ID,CASE014
Case Title,Data Breach Detected
Creation Date,29/02/2016 08:12
Description,User reported potential unauthorized access to data on their account.
Case Tasks,"[{""Case Tasks Title"": ""Initial Investigation"", ""Case Task Start Date"": ""29/02/2016 09:00"", ""Case Task Assignee"": ""user_180"", ""Case Task Status"": ""Completed"", ""Case Task Duration"": ""1 hour"", ""Case Attribute Data"": ""{ 'investigation_result': 'Unauthorized access confirmed.' }""}, {""Case Tasks Title"": ""Notify User of Breach"", ""Case Task Start Date"": ""29/02/2016 10:30"", ""Case Task Assignee"": ""user_227"", ""Case Task Status"": ""Completed"", ""Case Task Duration"": ""30 minutes"", ""Case Attribute Data"": ""{ 'notification_sent': 'User notified about the data breach.' }""}, {""Case Tasks Title"": ""Secure User Account"", ""Case Task Start Date"": ""01/03/2016 08:00"", ""Case Task Assignee"": ""user_249"", ""Case Task Status"": ""Completed"", ""Case Task Duration"": ""45 minutes"", ""Case Attribute Data"": ""{ 'account_secured': 'User account reset and secured.' }""}]"
Observables Analysis,"[{""Analysis Type"": ""Data Access Logs Analysis"", ""Analysis ID"": ""access-2016-010"", ""Timestamp"": ""2016-02-29 09:15:00 UTC"", ""Data Value"": ""Unauthorized access detected in logs."", ""Details"": ""Access made from an unrecognized IP address."", ""Status"": ""Completed""}]"
Chat Log,"User_180 [08:12 AM]: ""We've received a report of unauthorized access. Let's investigate the account."" User_227 [08:15 AM]: ""Checking access logs now. We need to confirm if there was a breach."" User_180 [09:00 AM]: ""Breach confirmed. User needs to be notified immediately."" User_227 [10:00 AM]: ""Notified the user about the breach and the steps taken."" User_249 [01/03/2016 08:00 AM]: ""Secured the user's account and reset their password."""
Chat Keywords,"[""data breach"", ""unauthorized access"", ""user notification"", ""account security"", ""investigation""]"
Chat Sentiment Determination,Frustration
Event ID,150
Distribution,Organization only
Event Information,Data breach incident detected and resolved
Threat Level,Medium
Event Attributes,"{ 'issue_type': 'data breach', 'affected_users': 'user_271' }"
close_code,Data_Breach_Resolved
resolved_by,user_227
resolved_at,01/03/2016 10:38
closed_at,06/03/2016 11:00
